"Step","treasured-dust-37 - rollout/ep_reward_mean","treasured-dust-37 - rollout/ep_reward_mean__MIN","treasured-dust-37 - rollout/ep_reward_mean__MAX"
"320000","-80.47586225","-80.47586225","-80.47586225"
"322000","-77.797647625","-77.797647625","-77.797647625"
"324000","-82.38235125","-82.38235125","-82.38235125"
"326000","-106.305511","-106.305511","-106.305511"
"328000","-76.54937075000001","-76.54937075000001","-76.54937075000001"
"330000","-97.41149525","-97.41149525","-97.41149525"
"332000","-79.73433849999999","-79.73433849999999","-79.73433849999999"
"334000","-97.705883","-97.705883","-97.705883"
"336000","-67.19640125000001","-67.19640125000001","-67.19640125000001"
"338000","-75.66988325","-75.66988325","-75.66988325"
"340000","-81.04229649999999","-81.04229649999999","-81.04229649999999"
"342000","-88.86041399999999","-88.86041399999999","-88.86041399999999"
"344000","-97.13603375","-97.13603375","-97.13603375"
"346000","-89.280979","-89.280979","-89.280979"
"348000","-77.72114887500001","-77.72114887500001","-77.72114887500001"
"350000","-80.171173125","-80.171173125","-80.171173125"
"352000","-79.887824","-79.887824","-79.887824"
"354000","-75.9428075","-75.9428075","-75.9428075"
"356000","-88.589577375","-88.589577375","-88.589577375"
"358000","-74.688915625","-74.688915625","-74.688915625"
"360000","-92.032494625","-92.032494625","-92.032494625"
"362000","-66.279445","-66.279445","-66.279445"
"364000","-76.227084375","-76.227084375","-76.227084375"
"366000","-88.760034625","-88.760034625","-88.760034625"
"368000","-87.324549875","-87.324549875","-87.324549875"
"370000","-82.797297125","-82.797297125","-82.797297125"
"372000","-78.11603099999999","-78.11603099999999","-78.11603099999999"
"374000","-87.1200275","-87.1200275","-87.1200275"
"376000","-85.58542525","-85.58542525","-85.58542525"
"378000","-90.597423875","-90.597423875","-90.597423875"
"380000","-87.076356125","-87.076356125","-87.076356125"
"382000","-88.35800375","-88.35800375","-88.35800375"
"384000","-79.253505125","-79.253505125","-79.253505125"
"386000","-85.3167205","-85.3167205","-85.3167205"
"388000","-101.015337625","-101.015337625","-101.015337625"
"390000","-82.68969737500001","-82.68969737500001","-82.68969737500001"
"392000","-101.56557875","-101.56557875","-101.56557875"
"394000","-88.712619375","-88.712619375","-88.712619375"
"396000","-88.469869875","-88.469869875","-88.469869875"
"398000","-80.211067625","-80.211067625","-80.211067625"
"400000","-79.46747225","-79.46747225","-79.46747225"
"402000","-81.356939625","-81.356939625","-81.356939625"
"404000","-104.671891375","-104.671891375","-104.671891375"
"406000","-77.102409875","-77.102409875","-77.102409875"
"408000","-90.158541","-90.158541","-90.158541"
"410000","-88.69249225","-88.69249225","-88.69249225"
"412000","-85.622562875","-85.622562875","-85.622562875"
"414000","-95.50917062500001","-95.50917062500001","-95.50917062500001"
"416000","-82.696587","-82.696587","-82.696587"
"418000","-79.40441537500001","-79.40441537500001","-79.40441537500001"
"420000","-82.70235","-82.70235","-82.70235"
"422000","-88.77748275","-88.77748275","-88.77748275"
"424000","-97.52208487499999","-97.52208487499999","-97.52208487499999"
"426000","-90.38199250000001","-90.38199250000001","-90.38199250000001"
"428000","-83.17784137500001","-83.17784137500001","-83.17784137500001"
"430000","-87.38294487499999","-87.38294487499999","-87.38294487499999"
"432000","-82.152313","-82.152313","-82.152313"
"434000","-84.75779399999999","-84.75779399999999","-84.75779399999999"
"436000","-81.49944425000001","-81.49944425000001","-81.49944425000001"
"438000","-82.18522362499999","-82.18522362499999","-82.18522362499999"
"440000","-86.9943345","-86.9943345","-86.9943345"
"442000","-68.82096924999999","-68.82096924999999","-68.82096924999999"
"444000","-81.428574","-81.428574","-81.428574"
"446000","-102.798266125","-102.798266125","-102.798266125"
"448000","-83.95080275","-83.95080275","-83.95080275"
"450000","-81.36034037499999","-81.36034037499999","-81.36034037499999"
"452000","-88.140161875","-88.140161875","-88.140161875"
"454000","-77.2184265","-77.2184265","-77.2184265"
"456000","-78.984326125","-78.984326125","-78.984326125"
"458000","-87.830488625","-87.830488625","-87.830488625"
"460000","-77.889189","-77.889189","-77.889189"
"462000","-88.8551015","-88.8551015","-88.8551015"
"464000","-89.00357062500001","-89.00357062500001","-89.00357062500001"
"466000","-84.350353125","-84.350353125","-84.350353125"
"468000","-79.815745875","-79.815745875","-79.815745875"
"470000","-76.46482337500001","-76.46482337500001","-76.46482337500001"
"472000","-87.470790375","-87.470790375","-87.470790375"
"474000","-82.327742625","-82.327742625","-82.327742625"
"476000","-86.847425875","-86.847425875","-86.847425875"
"478000","-79.42228575","-79.42228575","-79.42228575"
"480000","-78.48608175","-78.48608175","-78.48608175"
"482000","-79.885464875","-79.885464875","-79.885464875"
"484000","-89.984981375","-89.984981375","-89.984981375"
"486000","-108.45484725","-108.45484725","-108.45484725"
"488000","-97.254025875","-97.254025875","-97.254025875"
"490000","-89.27975375","-89.27975375","-89.27975375"
"492000","-83.36546949999999","-83.36546949999999","-83.36546949999999"
"494000","-90.51028675","-90.51028675","-90.51028675"
"496000","-82.935229375","-82.935229375","-82.935229375"
"498000","-81.952104625","-81.952104625","-81.952104625"
"500000","-76.593930125","-76.593930125","-76.593930125"
"502000","-82.29862775000001","-82.29862775000001","-82.29862775000001"
"504000","-82.62047824999999","-82.62047824999999","-82.62047824999999"
"506000","-82.00547325000001","-82.00547325000001","-82.00547325000001"
"508000","-74.893668625","-74.893668625","-74.893668625"
"510000","-91.077892875","-91.077892875","-91.077892875"
"512000","-79.01236324999999","-79.01236324999999","-79.01236324999999"
"514000","-81.9033","-81.9033","-81.9033"
"516000","-94.360722875","-94.360722875","-94.360722875"
"518000","-79.02485125","-79.02485125","-79.02485125"
"520000","-83.765186","-83.765186","-83.765186"
"522000","-86.699823","-86.699823","-86.699823"
"524000","-92.71304525","-92.71304525","-92.71304525"
"526000","-84.3427335","-84.3427335","-84.3427335"
"528000","-111.891693375","-111.891693375","-111.891693375"
"530000","-83.0073083","-83.0073083","-83.0073083"
"532000","-92.02533299999999","-92.02533299999999","-92.02533299999999"
"534000","-77.9477985","-77.9477985","-77.9477985"
"536000","-88.4878085","-88.4878085","-88.4878085"
"538000","-82.68361475","-82.68361475","-82.68361475"
"540000","-81.65265","-81.65265","-81.65265"
"542000","-89.72445025","-89.72445025","-89.72445025"
"544000","-80.39788250000001","-80.39788250000001","-80.39788250000001"
"546000","-76.89476175","-76.89476175","-76.89476175"
"548000","-90.696177375","-90.696177375","-90.696177375"
"550000","-108.200824","-108.200824","-108.200824"
"552000","-73.384213375","-73.384213375","-73.384213375"
"554000","-92.058088375","-92.058088375","-92.058088375"
"556000","-94.37935625","-94.37935625","-94.37935625"
