"Step","copper-bush-14 - rollout/total_successes","copper-bush-14 - rollout/total_successes__MIN","copper-bush-14 - rollout/total_successes__MAX"
"1087000","17","17","17"
"1088000","17","17","17"
"1089000","19","19","19"
"1090000","19","19","19"
"1091000","19","19","19"
"1092000","19","19","19"
"1093000","19","19","19"
"1094000","19","19","19"
"1095000","19","19","19"
"1096000","19","19","19"
"1097000","19","19","19"
"1098000","19","19","19"
"1099000","19","19","19"
"1100000","19","19","19"
"1101000","19","19","19"
"1102000","19","19","19"
"1103000","19","19","19"
"1104000","19","19","19"
"1105000","19","19","19"
"1106000","19","19","19"
"1107000","19","19","19"
"1108000","19","19","19"
"1109000","19","19","19"
"1110000","19","19","19"
"1111000","19","19","19"
"1112000","19","19","19"
"1113000","19","19","19"
"1114000","19","19","19"
"1115000","19","19","19"
"1116000","19","19","19"
"1117000","19","19","19"
"1118000","19","19","19"
"1119000","19","19","19"
"1120000","20","20","20"
"1121000","20","20","20"
"1122000","20","20","20"
"1123000","20","20","20"
"1124000","20","20","20"
"1125000","20","20","20"
"1126000","20","20","20"
"1127000","20","20","20"
"1128000","20","20","20"
"1129000","20","20","20"
"1130000","20","20","20"
"1131000","21","21","21"
"1132000","22","22","22"
"1133000","22","22","22"
"1134000","22","22","22"
"1135000","22","22","22"
"1136000","22","22","22"
"1137000","22","22","22"
"1138000","22","22","22"
"1139000","22","22","22"
"1140000","22","22","22"
"1141000","22","22","22"
"1142000","22","22","22"
"1143000","22","22","22"
"1144000","22","22","22"
"1145000","22","22","22"
"1146000","22","22","22"
"1147000","22","22","22"
"1148000","22","22","22"
"1149000","22","22","22"
"1150000","23","23","23"
"1151000","23","23","23"
"1152000","23","23","23"
"1153000","23","23","23"
"1154000","23","23","23"
"1155000","24","24","24"
"1156000","24","24","24"
"1157000","24","24","24"
"1158000","24","24","24"
"1159000","24","24","24"
"1160000","24","24","24"
"1161000","24","24","24"
"1162000","24","24","24"
"1163000","24","24","24"
"1164000","24","24","24"
"1165000","24","24","24"
"1166000","24","24","24"
"1167000","24","24","24"
"1168000","24","24","24"
"1169000","24","24","24"
"1170000","24","24","24"
"1171000","24","24","24"
"1172000","24","24","24"
"1173000","24","24","24"
"1174000","25","25","25"
"1175000","25","25","25"
"1176000","25","25","25"
"1177000","25","25","25"
"1178000","25","25","25"
"1179000","25","25","25"
"1180000","25","25","25"
"1181000","25","25","25"
"1182000","25","25","25"
"1183000","25","25","25"
"1184000","25","25","25"
"1185000","25","25","25"
"1186000","25","25","25"
"1187000","25","25","25"
"1188000","25","25","25"
"1189000","25","25","25"
"1190000","25","25","25"
"1191000","25","25","25"
"1192000","25","25","25"
"1193000","25","25","25"
"1194000","25","25","25"
"1195000","25","25","25"
"1196000","25","25","25"
"1197000","25","25","25"
"1198000","25","25","25"
"1199000","25","25","25"
"1200000","25","25","25"
"1201000","25","25","25"
"1202000","25","25","25"
"1203000","25","25","25"
"1204000","25","25","25"
"1205000","25","25","25"
"1206000","26","26","26"
"1207000","26","26","26"
"1208000","27","27","27"
"1209000","27","27","27"
"1210000","28","28","28"
"1211000","28","28","28"
"1212000","28","28","28"
"1213000","28","28","28"
"1214000","28","28","28"
"1215000","28","28","28"
"1216000","28","28","28"
"1217000","28","28","28"
"1218000","28","28","28"
"1219000","28","28","28"
"1220000","28","28","28"
